mpv 1:0.40.0-3
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.6-1
mullvad-vpn-bin 2025.6-1
mypaint-brushes1 1.3.1-2
nautilus 48.2-1
ncurses 6.5-4
neofetch 7.1.0-2
neon 0.34.2-1
neovim 0.11.2-3
netpbm 10.86.46-3
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
ninja 1.12.1-2
nm-connection-editor 1.36.0-1
node-gyp 11.2.0-1
nodejs-lts-iron 20.19.3-1
nodejs-nopt 7.2.1-1
nordic-theme 2.2.0-1
notion-app-electron 4.11.1-1
noto-fonts 1:2025.06.01-1
npm 11.4.2-1
npth 1.8-1
nspr 4.36-1
nss 3.113-1
ntfs-3g 2022.10.3-2
nvidia 575.64-5
nvidia-utils 575.64-1
nvm 0.40.3-1
nvtop 3.2.0-1
nwg-dock-hyprland 0.4.6-1
nwg-look 1.0.6-1
oath-toolkit 2.6.12-2
obs-studio 31.0.3-2
obs-vaapi 0.4.2-1
obsidian 1.8.10-1
ocl-icd 2.3.3-1
oguri-git r116.8b47791-1
oniguruma 6.9.10-1
openal 1.24.3-1
opencl-nvidia 575.64-1
openconnect 1:9.12-4
opencore-amr 0.1.6-2
openexr 3.3.4-1
openjpeg2 2.5.3-1
openssh 10.0p1-3
openssl 3.5.0-1
openvpn 2.6.14-1
opus 1.5.2-1
orc 0.4.41-1
orchis-theme 2025_04_25-1
os-prober 1.83-1
osinfo-db 20250606-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20250522-1
pacseek 1.8.5-1
pahole 1:1.30-2
pam 1.7.1-1
pambase 20230918-2
pamixer 1.6-3
pango 1:1.56.3-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
paru 2.0.4-1
paru-debug 2.0.4-1
patch 2.8-1
patchelf 0.18.0-3
patchutils 0.4.2-3
pavucontrol 1:6.1-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perl 5.40.2-1
perl-error 0.17030-1
perl-io-tty 1.20-2
perl-ipc-run 20231003.0-2
perl-mailtools 2.22-1
perl-time-duration 1:1.21-2
perl-timedate 2.33-7
pinentry 1.3.1-5
pipewire 1:1.4.6-1
pixman 0.46.2-1
pkcs11-helper 1.30.0-2
pkgconf 2.5.1-1
playerctl 2.4.1-4
plocate 1.1.23-1
pnpm 10.12.4-1
polkit 126-2
poppler 25.06.0-1
poppler-data 0.4.12-2
